ResourceName,ResourceGroup,SubscriptionName,Environment,ResourceType,Cost,Currency,UsageDate,Owner,TagsStatus
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,400.77,BRL,2026-05-24,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,225.95,BRL,2026-05-24,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,325.24,BRL,2026-05-24,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,111.80,BRL,2026-05-24,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,46.34,BRL,2026-05-24,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,94.47,BRL,2026-05-24,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,116.82,BRL,2026-05-24,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,118.91,BRL,2026-05-24,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,49.66,BRL,2026-05-24,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,124.27,BRL,2026-05-25,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,320.17,BRL,2026-05-25,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,188.91,BRL,2026-05-25,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,332.28,BRL,2026-05-25,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,74.41,BRL,2026-05-25,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,60.79,BRL,2026-05-25,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,129.26,BRL,2026-05-25,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,194.72,BRL,2026-05-25,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,140.25,BRL,2026-05-25,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,65.16,BRL,2026-05-25,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,144.53,BRL,2026-05-26,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,340.15,BRL,2026-05-26,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,239.80,BRL,2026-05-26,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,210.52,BRL,2026-05-26,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,81.80,BRL,2026-05-26,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,45.23,BRL,2026-05-26,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,69.72,BRL,2026-05-26,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,182.41,BRL,2026-05-26,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,112.32,BRL,2026-05-26,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,44.98,BRL,2026-05-26,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,163.48,BRL,2026-05-27,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,345.98,BRL,2026-05-27,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,215.85,BRL,2026-05-27,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,281.29,BRL,2026-05-27,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,91.61,BRL,2026-05-27,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,80.38,BRL,2026-05-27,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,80.77,BRL,2026-05-27,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,152.88,BRL,2026-05-27,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,121.77,BRL,2026-05-27,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,36.09,BRL,2026-05-27,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,168.20,BRL,2026-05-28,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,339.86,BRL,2026-05-28,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,247.28,BRL,2026-05-28,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,316.65,BRL,2026-05-28,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,121.28,BRL,2026-05-28,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,60.90,BRL,2026-05-28,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,134.42,BRL,2026-05-28,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,146.66,BRL,2026-05-28,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,153.21,BRL,2026-05-28,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,55.70,BRL,2026-05-28,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,142.81,BRL,2026-05-29,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,345.87,BRL,2026-05-29,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,237.79,BRL,2026-05-29,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,343.90,BRL,2026-05-29,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,104.40,BRL,2026-05-29,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,86.66,BRL,2026-05-29,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,169.96,BRL,2026-05-29,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,115.68,BRL,2026-05-29,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,159.58,BRL,2026-05-29,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,67.76,BRL,2026-05-29,unknown,MissingTags
vm-prod-app-01,rg-prod-app,Corp-Production,Production,Virtual Machine,175.58,BRL,2026-05-30,infra-team,Tagged
sql-finance-prod,rg-finance,Corp-Production,Production,Azure SQL Database,282.25,BRL,2026-05-30,finance-team,Tagged
aks-dev-cluster,rg-devops,Corp-Development,Development,AKS,192.79,BRL,2026-05-30,devops-team,Tagged
firewall-hub-prod,rg-network,Corp-SharedServices,Production,Azure Firewall,275.00,BRL,2026-05-30,cloud-team,Tagged
vm-dev-legacy-01,rg-dev,Corp-Development,Development,Virtual Machine,53.19,BRL,2026-05-30,unknown,MissingTags
storage-backup-prod,rg-backup,Corp-SharedServices,Production,Storage Account,49.60,BRL,2026-05-30,cloud-team,Tagged
law-monitoring-prod,rg-monitoring,Corp-SharedServices,Production,Log Analytics,78.57,BRL,2026-05-30,cloud-team,Tagged
sql-analytics-hml,rg-hml,Corp-Development,Homologation,Azure SQL Database,169.50,BRL,2026-05-30,unknown,MissingTags
app-payments-prod,rg-prod-app,Corp-Production,Production,App Service,186.90,BRL,2026-05-30,devops-team,Tagged
backup-old-vm01,rg-backup,Corp-SharedServices,Production,Backup Vault,65.94,BRL,2026-05-30,unknown,MissingTags
